FIELD_MGT_NO,EQ_NM,FWK_FCLT_NM,TASK_NM,SOU_ID,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4,QR,date
3-3B1-M-PPU-10602-2,냉난방순환펌프(냉수_24HR),냉난방순환펌프(냉수_24HR),기계,기계그룹-기계사업소-기계-0040987,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하2층,06섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,,
3-3B1-M-PPU-10602-3,냉난방순환펌프(냉수_24HR),냉난방순환펌프(냉수_24HR),기계,기계그룹-기계사업소-기계-0040988,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하2층,06섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,,
3-3B1-M-PPU-10802-1,냉난방순환펌프(냉수_24HR),냉난방순환펌프(냉수_24HR),기계,기계그룹-기계사업소-기계-0040989,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하2층,08섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,,
3-3B1-M-PPU-10802-2,냉난방순환펌프(냉수_24HR),냉난방순환펌프(냉수_24HR),기계,기계그룹-기계사업소-기계-0040990,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하2층,08섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,,
3-3B1-M-PPU-10802-3,냉난방순환펌프(냉수_24HR),냉난방순환펌프(냉수_24HR),기계,기계그룹-기계사업소-기계-0040991,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하2층,08섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,,
4-3B1-M-PMP-10603-1,냉난방순환펌프(냉수_24HR),냉난방순환펌프(냉수_24HR),기계,기계그룹-기계사업소-기계-0040992,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하2층,06섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,,
4-3B1-M-PMP-10603-2,냉난방순환펌프(냉수_24HR),냉난방순환펌프(냉수_24HR),기계,기계그룹-기계사업소-기계-0040993,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하2층,06섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,,
4-3B1-M-PMP-10603-3,냉난방순환펌프(냉수_24HR),냉난방순환펌프(냉수_24HR),기계,기계그룹-기계사업소-기계-0040994,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하2층,06섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,,
3-3B2-M-EXT-24103,팽창탱크(지열),팽창탱크(지열),기계,기계그룹-기계사업소-기계-0040995,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하1층,41섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,,
3-3B2-M-EXT-24102,팽창탱크(지열),팽창탱크(지열),기계,기계그룹-기계사업소-기계-0040996,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하1층,41섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,,
3-3H2-M-ERD-011,전기방열기,전기방열기,기계,기계그룹-기계사업소-기계-0040997,외곽지역,제2교통센터,지상2층,미분류,미분류,기계,냉난방/공조,복사/바닥 난방,전열설비,,
3-3B3-C-DDC-30234,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0040998,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,02섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
4-3B3-M-DDC-G0279,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0040999,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지상1층,02섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,,
3-3B2-M-GCP-24101-1,냉난방순환펌프(지열_1차),냉난방순환펌프(지열_1차),기계,기계그룹-기계사업소-기계-0041003,탑승단지>제2터미널지역>본관구역,제2여객터미널,지하1층,41섹터,미분류,기계,냉난방/공조,히트펌프,지열순환펌프,,
3-3H2-M-ERD-008,전기방열기,전기방열기,기계,기계그룹-기계사업소-기계-0041004,외곽지역,제2교통센터,지하1층,미분류,미분류,기계,냉난방/공조,복사/바닥 난방,전열설비,,
3-3H2-M-ERD-007,전기방열기,전기방열기,기계,기계그룹-기계사업소-기계-0041005,외곽지역,제2교통센터,지하1층,미분류,미분류,기계,냉난방/공조,복사/바닥 난방,전열설비,,
3-3H2-M-ERD-006,전기방열기,전기방열기,기계,기계그룹-기계사업소-기계-0041006,외곽지역,제2교통센터,지하1층,미분류,미분류,기계,냉난방/공조,복사/바닥 난방,전열설비,,
3-3H2-M-ERD-005,전기방열기,전기방열기,기계,기계그룹-기계사업소-기계-0041007,외곽지역,제2교통센터,지하1층,미분류,미분류,기계,냉난방/공조,복사/바닥 난방,전열설비,,
3-3H2-M-ERD-004,전기방열기,전기방열기,기계,기계그룹-기계사업소-기계-0041008,외곽지역,제2교통센터,지하1층,미분류,미분류,기계,냉난방/공조,복사/바닥 난방,전열설비,,
3-3H2-M-ERD-003,전기방열기,전기방열기,기계,기계그룹-기계사업소-기계-0041009,외곽지역,제2교통센터,지하1층,미분류,미분류,기계,냉난방/공조,복사/바닥 난방,전열설비,,
3-3H2-M-ERD-002,전기방열기,전기방열기,기계,기계그룹-기계사업소-기계-0041010,외곽지역,제2교통센터,지하1층,미분류,미분류,기계,냉난방/공조,복사/바닥 난방,전열설비,,
3-3H2-M-ERD-001,전기방열기,전기방열기,기계,기계그룹-기계사업소-기계-0041011,외곽지역,제2교통센터,지하1층,미분류,미분류,기계,냉난방/공조,복사/바닥 난방,전열설비,,
3-3B3-M-RAD-36401,전기방열기,전기방열기,기계,기계그룹-기계사업소-기계-0041012,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,64섹터,미분류,기계,냉난방/공조,복사/바닥 난방,전열설비,,
3-3B3-M-ERD-38101,전기방열기,전기방열기,기계,기계그룹-기계사업소-기계-0041013,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,81섹터,미분류,기계,냉난방/공조,복사/바닥 난방,전열설비,,
3-3B3-M-ERD-37101,전기방열기,전기방열기,기계,기계그룹-기계사업소-기계-0041014,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,71섹터,미분류,기계,냉난방/공조,복사/바닥 난방,전열설비,,
