FIELD_MGT_NO,EQ_NM,FWK_FCLT_NM,TASK_NM,SOU_ID,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4,QR,date
3-3H1-M-PMP-001-2,냉난방순환펌프(난방_TC2_West_Zone),냉난방순환펌프(난방_TC2_West_Zone),기계,기계그룹-기계사업소-기계-0043194,외곽지역,제2교통센터,지하2층,01섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방순환펌프,IFAC00000194,2026-05-27 14:51
3-3H1-M-INV-AHU19-T-R8,인버터 패널,인버터 패널,기계,기계그룹-기계사업소-기계-0044515,외곽지역,제2교통센터,지하2층,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,인버터판넬,IFAC00000491,2026-05-21 15:26
3-3H1-M-ECP-00001,열량계_유량계패널,열량계_유량계패널,기계,기계그룹-기계사업소-기계-0044752,외곽지역,제2교통센터,지하2층,미분류,미분류,기계,공구/계측/소모품,정밀 계측기기,초음파유량계,IFAC00001408,2026-05-21 16:13
3-3H1-M-PMP-001-1,냉난방순환펌프(난방_TC2_West_Zone),냉난방순환펌프(난방_TC2_West_Zone),기계,기계그룹-기계사업소-기계-0043193,외곽지역,제2교통센터,지하2층,01섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방순환펌프,IFAC00001984,2026-05-27 14:49
3-3H1-M-ETS-002,팽창기수분리기(난방),팽창기수분리기(난방),기계,기계그룹-기계사업소-기계-0041198,외곽지역,제2교통센터,지하2층,02섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,IFAC00002245,2026-05-21 15:45
3-3H1-E-MCC-1212EP,전동기제어 패널(MCC),전동기제어 패널(MCC),기계,기계그룹-기계사업소-기계-0041805,외곽지역,제2교통센터,미분류,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,전동기제어반,IFAC00002480,2026-05-21 16:37
3-3H1-M-PMP-004,냉난방순환펌프(바닥복사),냉난방순환펌프(바닥복사),기계,기계그룹-기계사업소-기계-0043204,외곽지역,제2교통센터,지하2층,04섹터,미분류,기계,냉난방/공조,복사/바닥 난방,바닥난방시스템,IFAC00002590,2026-05-27 16:01
3-3H1-M-PMP-015,배수펌프(PKG),배수펌프(PKG),기계,기계그룹-기계사업소-기계-0046458,외곽지역,제2교통센터,지하1층,15섹터,미분류,기계,급수/배수/위생,배수/오수펌프,오배수펌프,IFAC00002953,2026-05-21 16:31
3-3H1-M-PMP-003B-2,순환펌프(대류),순환펌프(대류),기계,기계그룹-기계사업소-기계-0045845,외곽지역,제2교통센터,지하2층,03섹터,미분류,기계,급수/배수/위생,급수펌프,대류펌프,IFAC00004333,2026-05-27 14:34
3-3H1-M-PMP-001,냉난방순환펌프(바닥복사),냉난방순환펌프(바닥복사),기계,기계그룹-기계사업소-기계-0043042,외곽지역,제2교통센터,지하2층,01섹터,미분류,기계,냉난방/공조,복사/바닥 난방,바닥난방시스템,IFAC00004527,2026-05-27 15:58
3-3H1-M-CPU-001-2,컴팩트유니트,컴팩트유니트,기계,기계그룹-기계사업소-기계-0041117,외곽지역,제2교통센터,지하2층,01섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,IFAC00004629,2026-05-27 14:53
3-3H1-M-ETS-005,팽창탱크(급탕),팽창탱크(급탕),기계,기계그룹-기계사업소-기계-0044142,외곽지역,제2교통센터,지하2층,05섹터,미분류,기계,급수/배수/위생,물탱크/저수조/압력탱크,팽창탱크,IFAC00004688,2026-05-27 14:06
3-3HI-M-PMP-004-2,순환펌프(대류),순환펌프(대류),기계,기계그룹-기계사업소-기계-0045895,외곽지역,제2교통센터,지하2층,04섹터,미분류,기계,급수/배수/위생,급수펌프,대류펌프,IFAC00004919,2026-05-27 14:59
3-3H1-M-CPU-004,컴팩트유니트(급탕),컴팩트유니트(급탕),기계,기계그룹-기계사업소-기계-0045899,외곽지역,제2교통센터,지하2층,04섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,급탕설비,IFAC00005089,2026-05-27 14:54
3-3H1-M-ETS-003,팽창탱크(급탕),팽창탱크(급탕),기계,기계그룹-기계사업소-기계-0044140,외곽지역,제2교통센터,지하2층,03섹터,미분류,기계,급수/배수/위생,물탱크/저수조/압력탱크,팽창탱크,IFAC00005124,2026-05-27 14:05
3-3H1-M-PMP-057,배수펌프(영구),배수펌프(영구),기계,기계그룹-기계사업소-기계-0041578,외곽지역,제2교통센터,지하2층,15섹터,미분류,기계,급수/배수/위생,배수/오수펌프,영구배수펌프,IFAC00005252,2026-05-21 16:46
3-3H1-M-PMP-003C-4,순환펌프(순환),순환펌프(순환),기계,기계그룹-기계사업소-기계-0045855,외곽지역,제2교통센터,지하2층,03섹터,미분류,기계,급수/배수/위생,급수펌프,순환펌프,IFAC00005539,2026-05-27 15:38
3-3H1-M-CPU-001-1,컴팩트유니트,컴팩트유니트,기계,기계그룹-기계사업소-기계-0041118,외곽지역,제2교통센터,지하2층,01섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,IFAC00005669,2026-05-27 14:45
3-3H1-M-PMP-003B-3,순환펌프(순환),순환펌프(순환),기계,기계그룹-기계사업소-기계-0045858,외곽지역,제2교통센터,지하2층,03섹터,미분류,기계,급수/배수/위생,급수펌프,순환펌프,IFAC00005719,2026-05-27 15:48
3-3H1-M-PMP-002-3,냉난방순환펌프(난방_TC2_East_Zone&철도),냉난방순환펌프(난방_TC2_East_Zone&철도),기계,기계그룹-기계사업소-기계-0043271,외곽지역,제2교통센터,지하2층,02섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방순환펌프,IFAC00006400,2026-05-27 15:29
3-3H1-M-PMP-003C-3,순환펌프(순환),순환펌프(순환),기계,기계그룹-기계사업소-기계-0045856,외곽지역,제2교통센터,지하2층,03섹터,미분류,기계,급수/배수/위생,급수펌프,순환펌프,IFAC00006777,2026-05-27 15:45
3-3H1-E-MCC-1213FA,전동기제어 패널(MCC),전동기제어 패널(MCC),기계,기계그룹-기계사업소-기계-0041818,외곽지역,제2교통센터,지상2층,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,전동기제어반,IFAC00007131,2026-05-27 16:15
3-3H1-M-PMP-003A-2,순환펌프(대류),순환펌프(대류),기계,기계그룹-기계사업소-기계-0045847,외곽지역,제2교통센터,지하2층,03섹터,미분류,기계,급수/배수/위생,급수펌프,대류펌프,IFAC00007236,2026-05-27 14:36
3-3HI-M-PMP-004-1,순환펌프(대류),순환펌프(대류),기계,기계그룹-기계사업소-기계-0045896,외곽지역,제2교통센터,지하2층,04섹터,미분류,기계,급수/배수/위생,급수펌프,대류펌프,IFAC00007361,2026-05-27 15:00
3-3H1-M-PPU-002-4,냉난방순환펌프(냉수_12HR_TC2),냉난방순환펌프(냉수_12HR_TC2),기계,기계그룹-기계사업소-기계-0041002,외곽지역,제2교통센터,지하2층,02섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,IFAC00007368,2026-05-27 15:10
3-3H1-M-PMP-23-023,배수펌프(PKG),배수펌프(PKG),기계,기계그룹-기계사업소-기계-0046362,외곽지역,제2교통센터,지하2층,15섹터,미분류,기계,급수/배수/위생,배수/오수펌프,오배수펌프,IFAC00007379,2026-05-21 16:24
3-3H1-M-INV-AHU18-T-R10,인버터 패널,인버터 패널,기계,기계그룹-기계사업소-기계-0044514,외곽지역,제2교통센터,지하2층,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,인버터판넬,IFAC00008234,2026-05-21 15:23
3-3H1-M-PMP-002-2,냉난방순환펌프(난방_TC2_East_Zone&철도),냉난방순환펌프(난방_TC2_East_Zone&철도),기계,기계그룹-기계사업소-기계-0043270,외곽지역,제2교통센터,지하2층,02섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방순환펌프,IFAC00008417,2026-05-27 15:29
3-3H1-E-MCC-1213A,전동기제어 패널(MCC),전동기제어 패널(MCC),기계,기계그룹-기계사업소-기계-0041797,외곽지역,제2교통센터,미분류,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,전동기제어반,IFAC00008491,2026-05-27 16:14
3-3H1-M-HWG-003,온수저장조(급탕),온수저장조(급탕),기계,기계그룹-기계사업소-기계-0040782,외곽지역,제2교통센터,지하2층,미분류,미분류,기계,급수/배수/위생,물탱크/저수조/압력탱크,급탕탱크,IFAC00008928,2026-05-27 14:12
3-3H1-M-PMP-001-3,냉난방순환펌프(난방_TC2_West_Zone),냉난방순환펌프(난방_TC2_West_Zone),기계,기계그룹-기계사업소-기계-0043195,외곽지역,제2교통센터,지하2층,01섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방순환펌프,IFAC00009234,2026-05-27 14:52
3-3H1-M-CAM-008,폐쇄회로TV,폐쇄회로TV,기계,기계그룹-기계사업소-기계-0043732,외곽지역,제2교통센터,지하2층,미분류,미분류,정보통신,물리보안,CCTV/NVR/영상감시,CCTV,IFAC00009835,2026-05-21 15:07
3A2-E-MCC-016,전동기제어 패널,전동기제어 패널,기계,기계그룹-기계사업소-기계-0006209,탑승단지>제1터미널지역>본관구역,제1여객터미널,지하1층,16섹터,미분류,전기,수변전/배전,배전반/분전반/MCC,전동기제어반,IFAC00009889,2026-06-01 13:41
3-3H1-M-PPU-002-2,냉난방순환펌프(냉수_12HR_TC2),냉난방순환펌프(냉수_12HR_TC2),기계,기계그룹-기계사업소-기계-0041000,외곽지역,제2교통센터,지하2층,02섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,IFAC00009892,2026-05-27 15:54
3-3H1-M-DDC6-T-L7,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0041110,외곽지역,제2교통센터,지하2층,미분류,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,IFAC00010590,2026-05-27 16:22
3-3H1-M-DDC1-T-C1,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0041127,외곽지역,제2교통센터,지하2층,미분류,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,IFAC00010699,2026-05-27 16:02
3-3H1-M-PMP-011,배수펌프(PKG),배수펌프(PKG),기계,기계그룹-기계사업소-기계-0046460,외곽지역,제2교통센터,지하1층,15섹터,미분류,기계,급수/배수/위생,배수/오수펌프,오배수펌프,IFAC00010888,2026-05-21 16:34
3-3H1-M-INV-AHU16-T-R9,인버터 패널,인버터 패널,기계,기계그룹-기계사업소-기계-0044512,외곽지역,제2교통센터,지하2층,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,인버터판넬,IFAC00010994,2026-05-21 15:23
3-3H1-M-CPU-003-1,컴팩트유니트(급탕),컴팩트유니트(급탕),기계,기계그룹-기계사업소-기계-0045902,외곽지역,제2교통센터,지하2층,03섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,급탕설비,IFAC00011282,2026-05-27 14:43
3-3H1-M-INV-AHU22-T-R13,인버터 패널,인버터 패널,기계,기계그룹-기계사업소-기계-0044518,외곽지역,제2교통센터,지하2층,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,인버터판넬,IFAC00011970,2026-05-21 14:43
3-3H1-M-AHU-017,공기조화기,공기조화기,기계,기계그룹-기계사업소-기계-0044545,외곽지역,제2교통센터,지하2층,17섹터,미분류,기계,냉난방/공조,공조기 AHU,공기조화기,IFAC00012157,2026-05-21 14:15
3-3H1-M-FAN-E53,송풍기(화장실),송풍기(화장실),기계,기계그룹-기계사업소-기계-0042163,외곽지역,제2교통센터,지하2층,16섹터,미분류,기계,환기/배기,송풍기/팬,송풍기,IFAC00012161,2026-05-21 13:54
3-3H1-M-PMP-003A-1,순환펌프(대류),순환펌프(대류),기계,기계그룹-기계사업소-기계-0045848,외곽지역,제2교통센터,지하2층,03섹터,미분류,기계,급수/배수/위생,급수펌프,대류펌프,IFAC00012540,2026-05-27 14:35
3-3H1-M-INV-AHU20-T-R12,인버터 패널,인버터 패널,기계,기계그룹-기계사업소-기계-0044516,외곽지역,제2교통센터,지하2층,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,인버터판넬,IFAC00012963,2026-05-21 15:19
3-3H1-M-PMP-003A-3,순환펌프(순환),순환펌프(순환),기계,기계그룹-기계사업소-기계-0045832,외곽지역,제2교통센터,지하2층,03섹터,미분류,기계,급수/배수/위생,급수펌프,순환펌프,IFAC00013021,2026-05-27 15:52
3-3H1-M-CPU-002-1,컴팩트유니트,컴팩트유니트,기계,기계그룹-기계사업소-기계-0041105,외곽지역,제2교통센터,지하2층,02섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,IFAC00013251,2026-05-27 14:26
3-3H1-M-CAM-007,폐쇄회로TV,폐쇄회로TV,기계,기계그룹-기계사업소-기계-0043731,외곽지역,제2교통센터,지하2층,미분류,미분류,정보통신,물리보안,CCTV/NVR/영상감시,CCTV,IFAC00013371,2026-05-21 15:08
3-3H1-M-CPU-002-2,컴팩트유니트,컴팩트유니트,기계,기계그룹-기계사업소-기계-0041104,외곽지역,제2교통센터,지하2층,02섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,IFAC00013967,2026-05-27 14:25
3-3H1-M-DDC2-T-C2,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0041106,외곽지역,제2교통센터,지하2층,미분류,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,IFAC00014098,2026-05-27 16:06
3-3H1-M-PMP-003B-4,순환펌프(순환),순환펌프(순환),기계,기계그룹-기계사업소-기계-0045857,외곽지역,제2교통센터,지하2층,03섹터,미분류,기계,급수/배수/위생,급수펌프,순환펌프,IFAC00014527,2026-05-27 15:47
3-3H1-M-PPU-001-3,냉난방순환펌프(냉수_12HR_TC2),냉난방순환펌프(냉수_12HR_TC2),기계,기계그룹-기계사업소-기계-0041031,외곽지역,제2교통센터,지하2층,01섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,IFAC00014664,2026-05-21 15:41
3-3H1-M-PMP-013,배수펌프(PKG),배수펌프(PKG),기계,기계그룹-기계사업소-기계-0046459,외곽지역,제2교통센터,지하1층,15섹터,미분류,기계,급수/배수/위생,배수/오수펌프,오배수펌프,IFAC00014949,2026-05-21 16:33
3-3H1-M-AHU-015,공기조화기,공기조화기,기계,기계그룹-기계사업소-기계-0044501,외곽지역,제2교통센터,지하2층,15섹터,미분류,기계,냉난방/공조,공조기 AHU,공기조화기,IFAC00015468,2026-05-27 16:13
3-3H1-M-FAN-E57,송풍기(기타),송풍기(기타),기계,기계그룹-기계사업소-기계-0042167,외곽지역,제2교통센터,지하2층,22섹터,미분류,기계,환기/배기,송풍기/팬,송풍기,IFAC00015944,2026-05-21 14:27
3-3H1-M-FAN-E55,송풍기(화장실),송풍기(화장실),기계,기계그룹-기계사업소-기계-0042165,외곽지역,제2교통센터,지하2층,22섹터,미분류,기계,환기/배기,송풍기/팬,송풍기,IFAC00016261,2026-05-21 14:00
3-3H1-M-HWG-001,온수저장조(급탕),온수저장조(급탕),기계,기계그룹-기계사업소-기계-0042789,외곽지역,제2교통센터,지하2층,미분류,미분류,기계,급수/배수/위생,물탱크/저수조/압력탱크,급탕탱크,IFAC00016611,2026-05-27 14:20
3-3H1-M-PPU-001-1,냉난방순환펌프(냉수_12HR_TC2),냉난방순환펌프(냉수_12HR_TC2),기계,기계그룹-기계사업소-기계-0041029,외곽지역,제2교통센터,지하2층,01섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,IFAC00017058,2026-05-21 15:36
3-3H1-M-INV-AHU13-T-R7,인버터 패널,인버터 패널,기계,기계그룹-기계사업소-기계-0044563,외곽지역,제2교통센터,지하2층,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,인버터판넬,IFAC00017361,2026-05-21 15:32
3-3H1-E-MCC-1213FB,전동기제어 패널(MCC),전동기제어 패널(MCC),기계,기계그룹-기계사업소-기계-0044568,외곽지역,제2교통센터,미분류,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,전동기제어반,IFAC00017978,2026-05-21 14:29
3-3H1-M-ddc10-T-R10,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0041154,외곽지역,제2교통센터,지하2층,미분류,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,IFAC00018026,2026-05-21 15:02
3-3H1-M-PMP-003A-4,순환펌프(순환),순환펌프(순환),기계,기계그룹-기계사업소-기계-0045833,외곽지역,제2교통센터,지하2층,03섹터,미분류,기계,급수/배수/위생,급수펌프,순환펌프,IFAC00018135,2026-05-27 15:51
3-3H1-M-CPU-003-3,컴팩트유니트(급탕),컴팩트유니트(급탕),기계,기계그룹-기계사업소-기계-0045900,외곽지역,제2교통센터,지하2층,03섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,급탕설비,IFAC00018359,2026-05-27 14:40
3-3H1-M-ddc9-T-R9,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0041169,외곽지역,제2교통센터,지하2층,미분류,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,IFAC00018693,2026-05-21 15:00
3-3H1-M-HWG-002,온수저장조(급탕),온수저장조(급탕),기계,기계그룹-기계사업소-기계-0040783,외곽지역,제2교통센터,지하2층,미분류,미분류,기계,급수/배수/위생,물탱크/저수조/압력탱크,급탕탱크,IFAC00018856,2026-05-27 14:19
3-3H1-M-HWG-004,온수저장조(급탕),온수저장조(급탕),기계,기계그룹-기계사업소-기계-0040781,외곽지역,제2교통센터,지하2층,미분류,미분류,기계,급수/배수/위생,물탱크/저수조/압력탱크,급탕탱크,IFAC00019547,2026-05-27 14:22
3-3H1-M-PMP-002-1,냉난방순환펌프(난방_TC2_East_Zone&철도),냉난방순환펌프(난방_TC2_East_Zone&철도),기계,기계그룹-기계사업소-기계-0043196,외곽지역,제2교통센터,지하2층,02섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방순환펌프,IFAC00019762,2026-05-27 15:28
3-3H1-M-INV-FANE56-T-R14,인버터 패널,인버터 패널,기계,기계그룹-기계사업소-기계-0040435,외곽지역,제2교통센터,지하2층,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,인버터판넬,IFAC00020052,2026-05-21 14:19
3-3H1-M-INV-AHU17-T-R11,인버터 패널,인버터 패널,기계,기계그룹-기계사업소-기계-0044513,외곽지역,제2교통센터,지하2층,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,인버터판넬,IFAC00020092,2026-05-21 15:22
3-3H1-M-PMP-002,냉난방순환펌프(바닥복사),냉난방순환펌프(바닥복사),기계,기계그룹-기계사업소-기계-0043043,외곽지역,제2교통센터,지하2층,02섹터,미분류,기계,냉난방/공조,복사/바닥 난방,바닥난방시스템,IFAC00020275,2026-05-27 15:59
3-3H1-M-FAN-E56,송풍기(기타),송풍기(기타),기계,기계그룹-기계사업소-기계-0042166,외곽지역,제2교통센터,지하2층,22섹터,미분류,기계,환기/배기,송풍기/팬,송풍기,IFAC00020338,2026-05-21 14:26
3-3H1-M-DDC5-T-L6,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0041109,외곽지역,제2교통센터,지하2층,미분류,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,IFAC00020468,2026-05-27 16:23
3-3H1-M-PMP-004-3,순환펌프(순환),순환펌프(순환),기계,기계그룹-기계사업소-기계-0045854,외곽지역,제2교통센터,지하2층,04섹터,미분류,기계,급수/배수/위생,급수펌프,순환펌프,IFAC00020966,2026-05-27 14:58
3-3H1-E-MCC-1213C,전동기제어 패널(MCC),전동기제어 패널(MCC),기계,기계그룹-기계사업소-기계-0041800,외곽지역,제2교통센터,미분류,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,전동기제어반,IFAC00021793,2026-05-27 16:08
3-3H1-M-PPU-002-3,냉난방순환펌프(냉수_12HR_TC2),냉난방순환펌프(냉수_12HR_TC2),기계,기계그룹-기계사업소-기계-0041001,외곽지역,제2교통센터,지하2층,02섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,IFAC00021878,2026-05-27 15:53
3-3H1-M-FAN-E51,송풍기(화장실),송풍기(화장실),기계,기계그룹-기계사업소-기계-0042216,외곽지역,제2교통센터,지하2층,16섹터,미분류,기계,환기/배기,송풍기/팬,송풍기,IFAC00023013,2026-05-21 13:49
3-3H1-M-ddc11-T-R11,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0041153,외곽지역,제2교통센터,지하2층,미분류,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,IFAC00023318,2026-05-21 15:03
3-3H1-M-CAM-004,폐쇄회로TV,폐쇄회로TV,기계,기계그룹-기계사업소-기계-0043728,외곽지역,제2교통센터,지하2층,미분류,미분류,정보통신,물리보안,CCTV/NVR/영상감시,CCTV,IFAC00023382,2026-05-21 15:08
3-3H1-M-PMP-003,냉난방순환펌프(바닥복사),냉난방순환펌프(바닥복사),기계,기계그룹-기계사업소-기계-0043044,외곽지역,제2교통센터,지하2층,03섹터,미분류,기계,냉난방/공조,복사/바닥 난방,바닥난방시스템,IFAC00023964,2026-05-27 16:00
3-3H1-M-PMP-004-4,순환펌프(순환),순환펌프(순환),기계,기계그룹-기계사업소-기계-0045853,외곽지역,제2교통센터,지하2층,04섹터,미분류,기계,급수/배수/위생,급수펌프,순환펌프,IFAC00024353,2026-05-27 14:57
3-3H1-M-ETS-006,팽창탱크(급탕),팽창탱크(급탕),기계,기계그룹-기계사업소-기계-0044137,외곽지역,제2교통센터,지하2층,06섹터,미분류,기계,급수/배수/위생,물탱크/저수조/압력탱크,팽창탱크,IFAC00024579,2026-05-27 14:07
3-3H1-M-ETS-001,팽창기수분리기(난방),팽창기수분리기(난방),기계,기계그룹-기계사업소-기계-0041199,외곽지역,제2교통센터,지하2층,01섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,난방설비,IFAC00024983,2026-05-27 14:56
3-3H1-E-MCC-1213B,전동기제어 패널(MCC),전동기제어 패널(MCC),기계,기계그룹-기계사업소-기계-0041798,외곽지역,제2교통센터,미분류,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,전동기제어반,IFAC00025089,2026-05-27 16:10
3-3H1-M-FAN-S50,송풍기(기타),송풍기(기타),기계,기계그룹-기계사업소-기계-0042274,외곽지역,제2교통센터,지하2층,21섹터,미분류,기계,환기/배기,송풍기/팬,송풍기,IFAC00025089,2026-05-27 16:12
3-3H1-M-ddc8-T-R8,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0041168,외곽지역,제2교통센터,지하2층,미분류,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,IFAC00025228,2026-05-21 14:58
3-3H1-M-PPU-001-2,냉난방순환펌프(냉수_12HR_TC2),냉난방순환펌프(냉수_12HR_TC2),기계,기계그룹-기계사업소-기계-0041030,외곽지역,제2교통센터,지하2층,01섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,IFAC00025298,2026-05-21 15:39
3-3H1-M-PMP-003B-1,순환펌프(대류),순환펌프(대류),기계,기계그룹-기계사업소-기계-0045846,외곽지역,제2교통센터,지하2층,03섹터,미분류,기계,급수/배수/위생,급수펌프,대류펌프,IFAC00025465,2026-05-27 14:33
3-3H1-M-PPU-002-1,냉난방순환펌프(냉수_12HR_TC2),냉난방순환펌프(냉수_12HR_TC2),기계,기계그룹-기계사업소-기계-0041015,외곽지역,제2교통센터,지하2층,02섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,IFAC00025601,2026-05-27 15:55
3-3H1-E-MCC-1213FC,전동기제어 패널(MCC),전동기제어 패널(MCC),기계,기계그룹-기계사업소-기계-0044569,외곽지역,제2교통센터,미분류,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,전동기제어반,IFAC00025786,2026-05-21 14:32
3-3H1-M-HVU-022,환기조화기,환기조화기,기계,기계그룹-기계사업소-기계-0042629,외곽지역,제2교통센터,지하2층,22섹터,미분류,기계,냉난방/공조,공조기 AHU,급기조화기,IFAC00025859,2026-05-21 14:38
3-3H1-M-DDC7-T-L8,직접디지털제어기 패널,직접디지털제어기 패널,기계,기계그룹-기계사업소-기계-0041167,외곽지역,제2교통센터,지하2층,미분류,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,자동제어설비,IFAC00027150,2026-05-27 16:21
3-3H1-M-PPU-001-4,냉난방순환펌프(냉수_12HR_TC2),냉난방순환펌프(냉수_12HR_TC2),기계,기계그룹-기계사업소-기계-0041016,외곽지역,제2교통센터,지하2층,01섹터,미분류,기계,냉난방/공조,열원기기 ? 냉동기/칠러,냉수팩키지유닛,IFAC00027958,2026-05-21 15:43
3-3H1-M-PMP-003C-2,순환펌프(대류),순환펌프(대류),기계,기계그룹-기계사업소-기계-0045843,외곽지역,제2교통센터,지하2층,03섹터,미분류,기계,급수/배수/위생,급수펌프,대류펌프,IFAC00028475,2026-05-27 14:31
3-3H1-E-MCC-1213D,전동기제어 패널(MCC),전동기제어 패널(MCC),기계,기계그룹-기계사업소-기계-0044679,외곽지역,제2교통센터,미분류,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,전동기제어반,IFAC00028721,2026-05-21 14:34
3-3H1-M-AHU-020,공기조화기,공기조화기,기계,기계그룹-기계사업소-기계-0044548,외곽지역,제2교통센터,지하2층,20섹터,미분류,기계,냉난방/공조,공조기 AHU,공기조화기,IFAC00028725,2026-05-21 14:05
3-3H1-M-ECP-00002,열량계_유량계패널,열량계_유량계패널,기계,기계그룹-기계사업소-기계-0044753,외곽지역,제2교통센터,지하2층,미분류,미분류,기계,공구/계측/소모품,정밀 계측기기,초음파유량계,IFAC00029069,2026-05-21 16:17
3-3H1-M-PMP-003C-1,순환펌프(대류),순환펌프(대류),기계,기계그룹-기계사업소-기계-0045844,외곽지역,제2교통센터,지하2층,03섹터,미분류,기계,급수/배수/위생,급수펌프,대류펌프,IFAC00029108,2026-05-27 14:30
3-3H1-M-AHU-018,공기조화기,공기조화기,기계,기계그룹-기계사업소-기계-0044546,외곽지역,제2교통센터,지하2층,18섹터,미분류,기계,냉난방/공조,공조기 AHU,공기조화기,IFAC00029394,2026-05-21 14:50
3-3H1-M-INV-FANE57-T-R15,인버터 패널,인버터 패널,기계,기계그룹-기계사업소-기계-0040394,외곽지역,제2교통센터,지하2층,미분류,미분류,전기,수변전/배전,배전반/분전반/MCC,인버터판넬,IFAC00029548,2026-05-21 14:20
3-3H1-M-CPU-003-2,컴팩트유니트(급탕),컴팩트유니트(급탕),기계,기계그룹-기계사업소-기계-0045901,외곽지역,제2교통센터,지하2층,03섹터,미분류,기계,냉난방/공조,열원기기 ? 보일러,급탕설비,IFAC00029591,2026-05-27 14:43
3A3KDDC014,DIRECT DIGITAL CONTROLLER,직접디지털제어기,기계,기계그룹-기계사업소-기계-0000001,탑승단지>제1터미널지역>본관구역,제1여객터미널,지상1층,30섹터,미분류,정보통신,건물자동제어 BAS/BEMS,DDC/PLC/컨트롤러,제어 패널,,
