FIELD_MGT_NO_현장관리번호,EQ_NM_시설명칭,EQ_NO,FWK_FCLT_NM_기능시설명,TASK_NM_과업,SOU_ID,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4
,4F-4102,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000060,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,4층,,4F-4102,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,4F-3125,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000061,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,4층,,4F-3125,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,4F-3126,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000062,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,4층,,4F-3126,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,4F-5103,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000063,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,4층,,4F-5103,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,4F-5102,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000064,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,4층,,4F-5102,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,1-7-13 여(장),,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000065,탑승단지>제1터미널>교통센터구역,제1교통센터,1층,,1-7-13 여(장),기계,급수/배수/위생,위생기구/세면기/변기,화장실
,1-11-9 남,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000066,탑승단지>제1터미널>교통센터구역,제1교통센터,1층,,1-11-9 남,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,1-10-8 여,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000067,탑승단지>제1터미널>교통센터구역,제1교통센터,1층,,1-10-8 여,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,1-10-9 여(장),,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000068,탑승단지>제1터미널>교통센터구역,제1교통센터,1층,,1-10-9 여(장),기계,급수/배수/위생,위생기구/세면기/변기,화장실
,B2-5-15 남,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000069,탑승단지>제1터미널>교통센터구역,제1교통센터,지하2층,,B2-5-15 남,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,B2-5-14 여,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000070,탑승단지>제1터미널>교통센터구역,제1교통센터,지하2층,,B2-5-14 여,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,B2-5-16 장,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000071,탑승단지>제1터미널>교통센터구역,제1교통센터,지하2층,,B2-5-16 장,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,B2-7-13 남,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000072,탑승단지>제1터미널>교통센터구역,제1교통센터,지하2층,,B2-7-13 남,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-5203,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000073,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-5203,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-5204,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000074,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-5204,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-8641,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000075,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8641,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-8642,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000076,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8642,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-8741,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000077,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8741,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-8742,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000078,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-8742,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-9541,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000079,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9541,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-9542,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000080,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9542,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-9641,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000081,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9641,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-9642,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000082,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9642,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-9841,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000083,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9841,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-9842,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000084,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9842,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-9847,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000085,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9847,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-9848,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000086,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-9848,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-3119,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000087,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3119,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-3120,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000088,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3120,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-3151,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000089,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3151,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-3139,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000090,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3139,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-3138,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000091,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3138,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-3402,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000092,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3402,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-3403,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000093,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3403,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,-,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000094,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,-,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-3905,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000095,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3905,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,3F-3904,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000096,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,3층,,3F-3904,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,1-7-11 남,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000097,탑승단지>제1터미널>교통센터구역,제1교통센터,1층,,1-7-11 남,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,1-6-14 여(장),,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000098,탑승단지>제1터미널>교통센터구역,제1교통센터,1층,,1-6-14 여(장),기계,급수/배수/위생,위생기구/세면기/변기,화장실
,1-6-13 여,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000099,탑승단지>제1터미널>교통센터구역,제1교통센터,1층,,1-6-13 여,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-9341,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000100,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-9341,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-9342,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000101,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-9342,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,-,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000102,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,-,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-1341,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000103,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-1341,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-1342,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000104,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-1342,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-1347,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000105,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-1347,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-3541,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000106,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3541,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-3542,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000107,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3542,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-3547,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000108,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3547,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-3548,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000109,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3548,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-3641,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000110,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3641,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-3642,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000111,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-3642,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-5441,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000112,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-5441,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-5442,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000113,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-5442,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-5443,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000114,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-5443,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-5444,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000115,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-5444,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-8309,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000116,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-8309,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-8303,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000117,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-8303,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-8441,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000118,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-8441,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-8342,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000119,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-8342,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-8547,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000120,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-8547,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-8548,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000121,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-8548,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-9242,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000122,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-9242,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-9241,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000123,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-9241,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-2554,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000124,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-2554,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-2555,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000125,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-2555,기계,급수/배수/위생,위생기구/세면기/변기,화장실
,2F-2942,,화장실,환경미화,기타-환경미화운영사업소-환경미화-0000126,탑승단지>제2터미널지역>본관구역,제2여객터미널A/S,2층,,2F-2942,기계,급수/배수/위생,위생기구/세면기/변기,화장실
