FIELD_MGT_NO,EQ_NM,EQ_NO,FWK_FCLT_NM,TASK_NM,SOU_ID,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4,QR,date
,화장실 4F-3406 여 ,,화장실 4F-3406 여 ,환경미화,기타-환경미화사업소-환경미화-0000504,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,4층,,4F-3406 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00006659,2009-01-01 5:05
,화장실 M-1404 여 ,,화장실 M-1404 여 ,환경미화,기타-환경미화사업소-환경미화-0000622,탑승단지>제2터미널지역>본관구역,제2단기주차장,M층,,M-1404 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00006830,2009-01-03 18:38
,화장실 4F-3312 남 ,,화장실 4F-3312 남 ,환경미화,기타-환경미화사업소-환경미화-0000505,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,4층,,4F-3312 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00006873,2009-01-01 5:04
,화장실 B1-0805 남 ,,화장실 B1-0805 남 ,환경미화,기타-환경미화사업소-환경미화-0000665,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,지하1층,,B1-0805 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00007127,2009-01-01 1:59
,화장실 5F-3102 남 ,,화장실 5F-3102 남 ,환경미화,기타-환경미화사업소-환경미화-0000513,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,5층,,5F-3102 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00007212,2009-01-01 5:12
,화장실 B1-1147 남 ,,화장실 B1-1147 남 ,환경미화,기타-환경미화사업소-환경미화-0000628,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,지하1층,,B1-1147 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00007315,2009-01-01 1:32
,화장실 R1003 여,,화장실 R1003 여,환경미화,기타-환경미화사업소-환경미화-0000275,탑승단지>탑승동지역>탑승구역,탑승동,1층,,R1003 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00007545,2009-01-01 4:24
,화장실 1F-1502 여 ,,화장실 1F-1502 여 ,환경미화,기타-환경미화사업소-환경미화-0000626,탑승단지>제2터미널지역>본관구역,제2단기주차장,1층,,1F-1502 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00007998,2009-01-03 18:26
,화장실 B1-0341 남 ,,화장실 B1-0341 남 ,환경미화,기타-환경미화사업소-환경미화-0000595,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,지하1층,,B1-0341 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00008014,2009-01-01 2:10
,화장실 R1004 남,,화장실 R1004 남,환경미화,기타-환경미화사업소-환경미화-0000276,탑승단지>탑승동지역>탑승구역,탑승동,1층,,R1004 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00008036,2009-01-01 4:18
,화장실 2F-0403 여 ,,화장실 2F-0403 여 ,환경미화,기타-환경미화사업소-환경미화-0000657,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,2층,,2F-0403 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00008492,2009-01-03 21:17
,화장실 B1-0809 남 ,,화장실 B1-0809 남 ,환경미화,기타-환경미화사업소-환경미화-0000663,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,지하1층,,B1-0809 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00008759,2009-01-01 1:56
,화장실 R4002 여,,화장실 R4002 여,환경미화,기타-환경미화사업소-환경미화-0000304,탑승단지>탑승동지역>탑승구역,탑승동,4층,,R4002 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00008763,2009-01-01 1:12
,화장실 2F-1241 남 ,,화장실 2F-1241 남 ,환경미화,기타-환경미화사업소-환경미화-0000635,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,2층,,2F-1241 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00009031,2009-01-01 4:38
,화장실 B1-0348 여 ,,화장실 B1-0348 여 ,환경미화,기타-환경미화사업소-환경미화-0000594,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,지하1층,,B1-0348 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00009406,2009-01-01 2:12
,화장실 4F-3120 남 ,,화장실 4F-3120 남 ,환경미화,기타-환경미화사업소-환경미화-0000508,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,4층,,4F-3120 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00009423,2009-01-01 5:01
,화장실 B1-7-10  여,,화장실 B1-7-10  여,환경미화,기타-환경미화사업소-환경미화-0000414,탑승단지>제1터미널>교통센터구역,제1교통센터,지하1층,,B1-7-10  여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00009723,2009-01-01 6:18
,화장실 3F-2618 남 ,,화장실 3F-2618 남 ,환경미화,기타-환경미화사업소-환경미화-0000643,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,3층,,3F-2618 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00010043,2009-01-03 21:27
,화장실 M-1704 여 ,,화장실 M-1704 여 ,환경미화,기타-환경미화사업소-환경미화-0000624,탑승단지>제2터미널지역>본관구역,제2단기주차장,M층,,M-1704 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00010132,2009-01-03 18:11
,화장실 B3-5-15  여,,화장실 B3-5-15  여,환경미화,기타-환경미화사업소-환경미화-0000262,탑승단지>제1터미널>교통센터구역,제1교통센터,지하3층,,B3-5-15  여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00010133,2009-01-03 23:01
,화장실 5-25-42 여 ,,화장실 5-25-42 여 ,환경미화,기타-환경미화사업소-환경미화-0000652,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,3층,,5-25-42 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00010149,2009-01-03 21:25
,화장실 4F-3407 남 ,,화장실 4F-3407 남 ,환경미화,기타-환경미화사업소-환경미화-0000503,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,4층,,4F-3407 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00010268,2009-01-01 5:06
,화장실 2F-0811 남 ,,화장실 2F-0811 남 ,환경미화,기타-환경미화사업소-환경미화-0000639,탑승단지>제2터미널지역>본관구역,제2여객터미널L/S,2층,,2F-0811 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00010707,2009-01-01 4:32
,화장실 B1-2104 여 ,,화장실 B1-2104 여 ,환경미화,기타-환경미화사업소-환경미화-0000606,탑승단지>제2터미널지역>본관구역,제2교통센터,지하1층,,B1-2104 여,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00010771,2009-01-01 1:53
,화장실 R1007 남,,화장실 R1007 남,환경미화,기타-환경미화사업소-환경미화-0000281,탑승단지>탑승동지역>탑승구역,탑승동,1층,,R1007 남,환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00010842,2009-01-01 4:10
,화장실 B1-3-21  남(장),,화장실 B1-3-21  남(장),환경미화,기타-환경미화사업소-환경미화-0000406,탑승단지>제1터미널>교통센터구역,제1교통센터,지하1층,,B1-3-21  남(장),환경미화,급수/배수/위생,위생기구/세면기/변기,화장실,IFAC00010936,2009-01-01 6:45
