현장관리번호,EQ_NM_시설명칭,FWK_FCLT_NM_기능시설명,TASK_NM_과업,SOU_ID_임시시설번호,L2_AREA_NAME,L3_BUILDING,L4_FLOOR,L5_SECTOR,L6_ROOM,FWK_F1,FWK_F2,FWK_F3,FWK_F4,qrcode,qrcode 등록일시
4-3B3-M-FCU-37608,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003539,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,76섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-37607,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003540,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,76섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-37606,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003541,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,76섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
3-3B3-M-HCT-32402,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003542,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,24섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3B3-M-HCP-33901,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003543,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,39섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3B3-M-HCP-33801,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003544,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상1층,38섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3B4-M-HCP-40401,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003545,탑승단지>제2터미널지역>본관구역,제2여객터미널,지상2층,04섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3H1-M-HCT-10101,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003546,외곽지역,제2교통센터,지하2층,01섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
3-3H1-M-HCT-10601,동파방지열선(위생),동파방지열선(위생),기계,기계그룹-기계사업소-기계-0003547,외곽지역,제2교통센터,지하2층,06섹터,미분류,기계,급수/배수/위생,급수펌프,급수설비,,
4-3B3-M-FCU-37709-2,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003548,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-37709-1,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003549,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
4-3B3-M-FCU-37708-2,팬코일유니트,팬코일유니트,기계,기계그룹-기계사업소-기계-0003550,탑승단지>제2터미널지역>본관구역,제2여객터미널 확장,지하1층,77섹터,,기계,냉난방/공조,팬코일/실내기 FCU,팬코일유니트,,
